"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0032QZMWA","B0032QZMWA","Jonard Tools ST-450 Adjustable Precision Wire Stripper, 26-36 AWG","JONARD TOOLS","Amazon","Tools & Home Improvement",78789,"Wire Strippers",51.9,"N/A",148,-20,7681.2,252,4.2,"Amazon",8,1725,11,"Small Standard-Size",2.755905511811,7.992125984252,0.62992125984252,0.0882,"N/A","N/A","03/01/2023",135,6,5,0.59
"https://amazon.com/dp/B006C4CYRK","B006C4CYRK","Jonard Tools WD-30-TRI Wire Dispenser with 50 ft Roll of 30 AWG Red, White, and Blue Insulated Kynar Wire","JONARD TOOLS","Amazon","Tools & Home Improvement",49897,"Electrical Wire",45.6,12,167,-8,7615.2,231,4.6,"Amazon",3,2020,"N/A","Large Standard-Size",4.7,1.2,4.4,0.2,"N/A","N/A","05/01/2022",33,6,10,0.72
"https://amazon.com/dp/B007TX8TU4","B007TX8TU4","Jonard Tools JIC-22035/10 Yellow Nylon Insulating Probe Pick Spudger with Insulated Wire Hook, 7"" Length (Pack of 10)","JONARD TOOLS","Amazon","Industrial & Scientific",30511,"Test Probes & Leads",25.3,16,299,0,7564.7,346,4.7,"Amazon",13,2312,25,"Small Standard-Size",3.0708661417323,6.6929133858268,0.39370078740157,0.138915,"N/A","N/A","03/01/2023",81,7,2,0.86
"https://amazon.com/dp/B006C4AIHI","B006C4AIHI","Jonard Tools R30BLK-1000 Black Insulated Kynar Copper Wire Roll, 30 AWG, 1000 ft Length","JONARD TOOLS","Amazon","Tools & Home Improvement",96376,"Electrical Wire",85.26,11,86,7,7332.36,127,4.6,"Amazon",12,1062,"N/A","Large Standard-Size",2.7992125984252,2.4,2.9,0.55,"N/A","N/A","09/01/2022",138,3,30,0.68
"https://amazon.com/dp/B00UR6TY0Y","B00UR6TY0Y","Jonard Tools EX-1/10 DIP/IC Extractor Tools (8-24 Pins), Pack of 10","JONARD TOOLS","Amazon","Industrial & Scientific",22492,"Extraction Tools",24.35,-11,299,-61,7280.65,948,4.5,"Amazon",6,6588,6,"Large Standard-Size",4.25,5.63,1.42,0.200655,"N/A","N/A","03/01/2022",68,1,3,0.32
"https://amazon.com/dp/B087S6QJT3","B087S6QJT3","Jonard Tools KN-100INS Insulated Cable Sheath Slitting Dismantling Knife","JONARD TOOLS","Amazon","Tools & Home Improvement",52267,"Utility Knives",31.95,10,226,19,7220.7,641,4.6,"Amazon",5,1958,1,"Small Standard-Size",2.8,10.9,0.7,0.249165,"N/A","N/A","04/01/2023",36,6,3,0.35
"https://amazon.com/dp/B006C3SA9M","B006C3SA9M","Jonard Tools ASW-916, Double Ended Speed Wrench, Angled Head, 9/16""","JONARD TOOLS","Amazon","Tools & Home Improvement",26344,"Combination Wrenches",13.72,19,523,-1,7175.56,1904,4.8,"Amazon",9,"N/A","N/A","Small Standard-Size",10,0.3,2.25,0.25,"N/A","N/A","03/01/2023",135,6,10,0.27
"https://amazon.com/dp/B007TX8VNO","B007TX8VNO","Jonard Tools JIC-22035NT/10 Yellow Nylon Probe Pick Spudger with L-Shaped Wire Hook, 7"" Length (Pack of 10)","JONARD TOOLS","Amazon","Industrial & Scientific",30511,"Test Probes & Leads",23.71,20,299,0,7089.29,346,4.7,"Amazon",11,2312,25,"Large Standard-Size",3.46,8.62,0.87,0.130095,"N/A","N/A","03/01/2023",81,5,2,0.86
"https://amazon.com/dp/B006C4AZKS","B006C4AZKS","Jonard Tools R30Y-1000 Yellow Insulated Kynar Copper Wire Roll, 30 AWG, 1000 ft Length","JONARD TOOLS","Amazon","Tools & Home Improvement",99281,"Electrical Wire",81.95,-6,86,7,7047.7,128,4.6,"Amazon",1,1062,"N/A","Large Standard-Size",2.7952755905512,5.1968503937008,2.6377952755906,0.54684,"N/A","N/A","09/01/2022",137,3,30,0.67
"https://amazon.com/dp/B07C82K4HD","B07C82K4HD","Jonard Tools JIC-625 Copper COAX & Network Cable Cutter, Up to 6 AWG Cable","JONARD TOOLS","FBM","Tools & Home Improvement",86042,"Wire Cutters",31.97,"N/A",220,14,7033.4,275,4.5,"DDA DISTRIBUTORS LLC",3,"N/A","N/A","Small Standard-Size",3.3,10.1,0.6,0.44982,"N/A","N/A","04/01/2023",59,7,4,0.8
"https://amazon.com/dp/B01EAGXF56","B01EAGXF56","Jonard Tools JIC-755 Hardline COAX & Fiber Cable Cutter, Up to 1"" Diameter, Yellow","JONARD TOOLS","Amazon","Tools & Home Improvement",86042,"Wire Cutters",31.95,9,220,14,7029,275,4.5,"Amazon",16,"N/A","N/A","Small Standard-Size",3.5,12.95,0.75,0.7497,"N/A","N/A","04/01/2023",67,6,4,0.8
"https://amazon.com/dp/B07GZ9TXC8","B07GZ9TXC8","SSK-90 Jonard Tools P- KEY insert for use with Can Wrenches","JONARD TOOLS","Amazon","Tools & Home Improvement",19815,"Wrenches",12.95,"N/A",539,32,6980.05,779,4.5,"Amazon",5,4704,43,"Small Standard-Size",2.244094488189,4.7244094488189,0.59055118110236,0.0441,"N/A","N/A","03/01/2023",49,6,17,0.69
"https://amazon.com/dp/B001ICLVN4","B001ICLVN4","Jonard Tools ST-500 Adjustable Precision Wire Stripper, 20-30 AWG","JONARD TOOLS","Amazon","Tools & Home Improvement",73533,"Wire Strippers",42.63,"N/A",160,4,6820.8,249,4.2,"Amazon",11,1600,36,"Large Standard-Size",2.7952755905512,7.9133858267717,0.82677165354331,0.0882,"N/A","N/A","03/01/2023",136,6,5,0.65
"https://amazon.com/dp/B06XDFVFZF","B06XDFVFZF","Jonard Tools TWAF-91640, Full Head Torque Wrench, 9/16"" Drive Size, 40 in-lb Torque","JONARD TOOLS","FBM","Tools & Home Improvement",148771,"Torque Wrenches",62.13,-52,106,3,6585.78,476,4.7,"SIM Supply, Inc.",9,1003,-15,"Large Standard-Size",2.5590551181102,10.196850393701,0.94488188976378,0.381465,"N/A","N/A","05/01/2021",71,6,11,0.22
"https://amazon.com/dp/B006C4C8G2","B006C4C8G2","Torque Wrench, Speed Head, 7/16, 20 in-lb","JONARD TOOLS","FBM","Tools & Home Improvement",121004,"Torque Wrenches",61.28,"N/A",106,3,6495.68,476,4.7,"Norex Supply - Save up to 70% on everything!",14,1003,-15,"Large Standard-Size",2.4,1,7.9,0.3,"N/A","N/A","05/01/2021",135,4,11,0.22
